GR_NAME;PL_T;P+;OBJ_COUNT
Akmenës Vartotojai;2021-10-01 00:00:00.000;1,8359;6
Akmenës Vartotojai;2021-10-01 01:00:00.000;1,6478;6
Akmenës Vartotojai;2021-10-01 02:00:00.000;1,4398;6
Akmenës Vartotojai;2021-10-01 03:00:00.000;2,1027;6
Akmenës Vartotojai;2021-10-01 04:00:00.000;1,5656;6
Akmenës Vartotojai;2021-10-01 05:00:00.000;1,6079;6
Akmenës Vartotojai;2021-10-01 06:00:00.000;1,3996;6
Akmenës Vartotojai;2021-10-01 07:00:00.000;2,0721;6
Akmenës Vartotojai;2021-10-01 08:00:00.000;2,2736;6
Akmenës Vartotojai;2021-10-01 09:00:00.000;2,6869;6
Akmenës Vartotojai;2021-10-01 10:00:00.000;2,3853;6
Akmenës Vartotojai;2021-10-01 11:00:00.000;1,858;6
Akmenës Vartotojai;2021-10-01 12:00:00.000;1,8354;6
Akmenës Vartotojai;2021-10-01 13:00:00.000;1,1393;6
Akmenës Vartotojai;2021-10-01 14:00:00.000;1,8209;6
Akmenës Vartotojai;2021-10-01 15:00:00.000;2,279;6
Akmenës Vartotojai;2021-10-01 16:00:00.000;2,8727;6
Akmenës Vartotojai;2021-10-01 17:00:00.000;2,9182;6
Akmenës Vartotojai;2021-10-01 18:00:00.000;2,7739;6
Akmenës Vartotojai;2021-10-01 19:00:00.000;2,7242;6
Akmenës Vartotojai;2021-10-01 20:00:00.000;3,2036;6
Akmenës Vartotojai;2021-10-01 21:00:00.000;2,7621;6
Akmenës Vartotojai;2021-10-01 22:00:00.000;2,1552;6
Akmenës Vartotojai;2021-10-01 23:00:00.000;2,1201;6
Akmenës Vartotojai;2021-10-02 00:00:00.000;2,0321;6
Akmenës Vartotojai;2021-10-02 01:00:00.000;1,6233;6
Akmenës Vartotojai;2021-10-02 02:00:00.000;2,3185;6
Akmenës Vartotojai;2021-10-02 03:00:00.000;2,1728;6
Akmenës Vartotojai;2021-10-02 04:00:00.000;1,3087;6
Akmenës Vartotojai;2021-10-02 05:00:00.000;1,2722;6
Akmenës Vartotojai;2021-10-02 06:00:00.000;1,0039;6
Akmenës Vartotojai;2021-10-02 07:00:00.000;1,1956;6
Akmenës Vartotojai;2021-10-02 08:00:00.000;1,3687;6
Akmenës Vartotojai;2021-10-02 09:00:00.000;1,4352;6
Akmenës Vartotojai;2021-10-02 10:00:00.000;2,242;6
Akmenës Vartotojai;2021-10-02 11:00:00.000;1,6547;6
Akmenës Vartotojai;2021-10-02 12:00:00.000;1,2263;6
Akmenës Vartotojai;2021-10-02 13:00:00.000;1,8378;6
Akmenës Vartotojai;2021-10-02 14:00:00.000;2,5166;6
Akmenës Vartotojai;2021-10-02 15:00:00.000;2,1967;6
Akmenës Vartotojai;2021-10-02 16:00:00.000;2,4179;6
Akmenës Vartotojai;2021-10-02 17:00:00.000;4,7698;6
Akmenës Vartotojai;2021-10-02 18:00:00.000;4,5642;6
Akmenës Vartotojai;2021-10-02 19:00:00.000;3,7599;6
Akmenës Vartotojai;2021-10-02 20:00:00.000;3,7926;6
Akmenës Vartotojai;2021-10-02 21:00:00.000;3,2202;6
Akmenës Vartotojai;2021-10-02 22:00:00.000;1,659;6
Akmenës Vartotojai;2021-10-02 23:00:00.000;1,7689;6
Akmenës Vartotojai;2021-10-03 00:00:00.000;2,4293;6
Akmenës Vartotojai;2021-10-03 01:00:00.000;1,0301;6
Akmenës Vartotojai;2021-10-03 02:00:00.000;0,9396;6
Akmenës Vartotojai;2021-10-03 03:00:00.000;0,9132;6
Akmenës Vartotojai;2021-10-03 04:00:00.000;1,4779;6
Akmenës Vartotojai;2021-10-03 05:00:00.000;1,9658;6
Akmenës Vartotojai;2021-10-03 06:00:00.000;1,5866;6
Akmenës Vartotojai;2021-10-03 07:00:00.000;1,5588;6
Akmenës Vartotojai;2021-10-03 08:00:00.000;1,0727;6
Akmenës Vartotojai;2021-10-03 09:00:00.000;1,0843;6
Akmenës Vartotojai;2021-10-03 10:00:00.000;2,6678;6
Akmenës Vartotojai;2021-10-03 11:00:00.000;2,9635;6
Akmenës Vartotojai;2021-10-03 12:00:00.000;5,6995;6
Akmenës Vartotojai;2021-10-03 13:00:00.000;4,8926;6
Akmenës Vartotojai;2021-10-03 14:00:00.000;6,2303;6
Akmenës Vartotojai;2021-10-03 15:00:00.000;4,6005;6
Akmenës Vartotojai;2021-10-03 16:00:00.000;3,1761;6
Akmenës Vartotojai;2021-10-03 17:00:00.000;3,6224;6
Akmenës Vartotojai;2021-10-03 18:00:00.000;2,8711;6
Akmenës Vartotojai;2021-10-03 19:00:00.000;3,5919;6
Akmenës Vartotojai;2021-10-03 20:00:00.000;4,7965;6
Akmenës Vartotojai;2021-10-03 21:00:00.000;2,305;6
Akmenës Vartotojai;2021-10-03 22:00:00.000;2,0076;6
Akmenës Vartotojai;2021-10-03 23:00:00.000;1,1805;6
Akmenës Vartotojai;2021-10-04 00:00:00.000;0,9955;6
Akmenës Vartotojai;2021-10-04 01:00:00.000;1,1171;6
Akmenës Vartotojai;2021-10-04 02:00:00.000;1,3643;6
Akmenës Vartotojai;2021-10-04 03:00:00.000;0,8687;6
Akmenës Vartotojai;2021-10-04 04:00:00.000;0,9677;6
Akmenës Vartotojai;2021-10-04 05:00:00.000;0,9618;6
Akmenës Vartotojai;2021-10-04 06:00:00.000;1,9326;6
Akmenës Vartotojai;2021-10-04 07:00:00.000;3,4946;6
Akmenës Vartotojai;2021-10-04 08:00:00.000;1,8713;6
Akmenës Vartotojai;2021-10-04 09:00:00.000;3,0693;6
Akmenës Vartotojai;2021-10-04 10:00:00.000;3,4928;6
Akmenës Vartotojai;2021-10-04 11:00:00.000;1,6455;6
Akmenës Vartotojai;2021-10-04 12:00:00.000;2,1244;6
Akmenës Vartotojai;2021-10-04 13:00:00.000;3,719;6
Akmenës Vartotojai;2021-10-04 14:00:00.000;2,2656;6
Akmenës Vartotojai;2021-10-04 15:00:00.000;1,932;6
Akmenës Vartotojai;2021-10-04 16:00:00.000;1,6068;6
Akmenës Vartotojai;2021-10-04 17:00:00.000;1,9562;6
Akmenës Vartotojai;2021-10-04 18:00:00.000;2,9241;6
Akmenës Vartotojai;2021-10-04 19:00:00.000;2,2402;6
Akmenës Vartotojai;2021-10-04 20:00:00.000;2,1329;6
Akmenës Vartotojai;2021-10-04 21:00:00.000;1,7441;6
Akmenës Vartotojai;2021-10-04 22:00:00.000;1,3887;6
Akmenës Vartotojai;2021-10-04 23:00:00.000;1,1958;6
Akmenës Vartotojai;2021-10-05 00:00:00.000;0,8671;6
Akmenës Vartotojai;2021-10-05 01:00:00.000;0,7798;6
Akmenës Vartotojai;2021-10-05 02:00:00.000;0,9488;6
Akmenës Vartotojai;2021-10-05 03:00:00.000;0,8467;6
Akmenës Vartotojai;2021-10-05 04:00:00.000;0,865;6
Akmenës Vartotojai;2021-10-05 05:00:00.000;1,435;6
Akmenës Vartotojai;2021-10-05 06:00:00.000;1,1227;6
Akmenës Vartotojai;2021-10-05 07:00:00.000;1,0261;6
Akmenës Vartotojai;2021-10-05 08:00:00.000;1,3907;6
Akmenës Vartotojai;2021-10-05 09:00:00.000;0,8639;6
Akmenës Vartotojai;2021-10-05 10:00:00.000;2,0793;6
Akmenës Vartotojai;2021-10-05 11:00:00.000;1,172;6
Akmenës Vartotojai;2021-10-05 12:00:00.000;1,3737;6
Akmenës Vartotojai;2021-10-05 13:00:00.000;1,1107;6
Akmenës Vartotojai;2021-10-05 14:00:00.000;1,2402;6
Akmenës Vartotojai;2021-10-05 15:00:00.000;1,4965;6
Akmenës Vartotojai;2021-10-05 16:00:00.000;2,706;6
Akmenës Vartotojai;2021-10-05 17:00:00.000;2,4505;6
Akmenës Vartotojai;2021-10-05 18:00:00.000;2,2586;6
Akmenës Vartotojai;2021-10-05 19:00:00.000;2,1048;6
Akmenës Vartotojai;2021-10-05 20:00:00.000;1,9942;6
Akmenës Vartotojai;2021-10-05 21:00:00.000;1,7739;6
Akmenës Vartotojai;2021-10-05 22:00:00.000;1,5969;6
Akmenës Vartotojai;2021-10-05 23:00:00.000;1,6459;6
Akmenës Vartotojai;2021-10-06 00:00:00.000;0,9092;6
Akmenës Vartotojai;2021-10-06 01:00:00.000;0,9221;6
Akmenës Vartotojai;2021-10-06 02:00:00.000;0,9474;6
Akmenës Vartotojai;2021-10-06 03:00:00.000;0,9568;6
Akmenës Vartotojai;2021-10-06 04:00:00.000;0,8649;6
Akmenës Vartotojai;2021-10-06 05:00:00.000;0,8208;6
Akmenës Vartotojai;2021-10-06 06:00:00.000;1,2854;6
Akmenës Vartotojai;2021-10-06 07:00:00.000;2,5778;6
Akmenës Vartotojai;2021-10-06 08:00:00.000;1,5345;6
Akmenës Vartotojai;2021-10-06 09:00:00.000;1,7807;6
Akmenës Vartotojai;2021-10-06 10:00:00.000;1,9348;6
Akmenës Vartotojai;2021-10-06 11:00:00.000;1,8253;6
Akmenës Vartotojai;2021-10-06 12:00:00.000;2,8372;6
Akmenës Vartotojai;2021-10-06 13:00:00.000;4,4821;6
Akmenës Vartotojai;2021-10-06 14:00:00.000;1,647;6
Akmenës Vartotojai;2021-10-06 15:00:00.000;1,6101;6
Akmenës Vartotojai;2021-10-06 16:00:00.000;1,3413;6
Akmenës Vartotojai;2021-10-06 17:00:00.000;1,3247;6
Akmenës Vartotojai;2021-10-06 18:00:00.000;3,4683;6
Akmenës Vartotojai;2021-10-06 19:00:00.000;2,1644;6
Akmenës Vartotojai;2021-10-06 20:00:00.000;1,7539;6
Akmenës Vartotojai;2021-10-06 21:00:00.000;1,6445;6
Akmenës Vartotojai;2021-10-06 22:00:00.000;1,6167;6
Akmenës Vartotojai;2021-10-06 23:00:00.000;1,8099;6
Akmenës Vartotojai;2021-10-07 00:00:00.000;1,9577;6
Akmenës Vartotojai;2021-10-07 01:00:00.000;1,1542;6
Akmenës Vartotojai;2021-10-07 02:00:00.000;1,1058;6
Akmenës Vartotojai;2021-10-07 03:00:00.000;0,9063;6
Akmenës Vartotojai;2021-10-07 04:00:00.000;1,071;6
Akmenës Vartotojai;2021-10-07 05:00:00.000;0,9232;6
Akmenës Vartotojai;2021-10-07 06:00:00.000;1,1956;6
Akmenës Vartotojai;2021-10-07 07:00:00.000;2,0521;6
Akmenës Vartotojai;2021-10-07 08:00:00.000;3,319;6
Akmenës Vartotojai;2021-10-07 09:00:00.000;2,8334;6
Akmenës Vartotojai;2021-10-07 10:00:00.000;1,5738;6
Akmenës Vartotojai;2021-10-07 11:00:00.000;2,5665;6
Akmenës Vartotojai;2021-10-07 12:00:00.000;2,4285;6
Akmenës Vartotojai;2021-10-07 13:00:00.000;1,2306;6
Akmenës Vartotojai;2021-10-07 14:00:00.000;1,8455;6
Akmenës Vartotojai;2021-10-07 15:00:00.000;1,3109;6
Akmenës Vartotojai;2021-10-07 16:00:00.000;1,2409;6
Akmenës Vartotojai;2021-10-07 17:00:00.000;1,2193;6
Akmenës Vartotojai;2021-10-07 18:00:00.000;3,0856;6
Akmenës Vartotojai;2021-10-07 19:00:00.000;2,7189;6
Akmenës Vartotojai;2021-10-07 20:00:00.000;1,6606;6
Akmenës Vartotojai;2021-10-07 21:00:00.000;1,6899;6
Akmenës Vartotojai;2021-10-07 22:00:00.000;1,4688;6
Akmenës Vartotojai;2021-10-07 23:00:00.000;1,1595;6
Akmenës Vartotojai;2021-10-08 00:00:00.000;0,9381;6
Akmenës Vartotojai;2021-10-08 01:00:00.000;1,0343;6
Akmenës Vartotojai;2021-10-08 02:00:00.000;0,8027;6
Akmenës Vartotojai;2021-10-08 03:00:00.000;0,945;6
Akmenës Vartotojai;2021-10-08 04:00:00.000;1,0183;6
Akmenës Vartotojai;2021-10-08 05:00:00.000;0,9943;6
Akmenës Vartotojai;2021-10-08 06:00:00.000;1,0538;6
Akmenës Vartotojai;2021-10-08 07:00:00.000;0,9552;6
Akmenës Vartotojai;2021-10-08 08:00:00.000;1,1142;6
Akmenës Vartotojai;2021-10-08 09:00:00.000;1,2551;6
Akmenës Vartotojai;2021-10-08 10:00:00.000;2,1446;6
Akmenës Vartotojai;2021-10-08 11:00:00.000;1,33;6
Akmenës Vartotojai;2021-10-08 12:00:00.000;1,6736;6
Akmenës Vartotojai;2021-10-08 13:00:00.000;2,5897;6
Akmenës Vartotojai;2021-10-08 14:00:00.000;1,7823;6
Akmenës Vartotojai;2021-10-08 15:00:00.000;1,8535;6
Akmenës Vartotojai;2021-10-08 16:00:00.000;2,1718;6
Akmenës Vartotojai;2021-10-08 17:00:00.000;2,7057;6
Akmenës Vartotojai;2021-10-08 18:00:00.000;2,0874;6
Akmenës Vartotojai;2021-10-08 19:00:00.000;1,8499;6
Akmenës Vartotojai;2021-10-08 20:00:00.000;2,6972;6
Akmenës Vartotojai;2021-10-08 21:00:00.000;1,6051;6
Akmenës Vartotojai;2021-10-08 22:00:00.000;1,7427;6
Akmenës Vartotojai;2021-10-08 23:00:00.000;1,5343;6
Akmenës Vartotojai;2021-10-09 00:00:00.000;1,407;6
Akmenës Vartotojai;2021-10-09 01:00:00.000;1,1436;6
Akmenës Vartotojai;2021-10-09 02:00:00.000;0,8668;6
Akmenës Vartotojai;2021-10-09 03:00:00.000;1,3429;6
Akmenës Vartotojai;2021-10-09 04:00:00.000;1,1352;6
Akmenës Vartotojai;2021-10-09 05:00:00.000;0,941;6
Akmenës Vartotojai;2021-10-09 06:00:00.000;0,9932;6
Akmenës Vartotojai;2021-10-09 07:00:00.000;1,1259;6
Akmenës Vartotojai;2021-10-09 08:00:00.000;1,6676;6
Akmenës Vartotojai;2021-10-09 09:00:00.000;3,0364;6
Akmenës Vartotojai;2021-10-09 10:00:00.000;1,7762;6
Akmenës Vartotojai;2021-10-09 11:00:00.000;2,5772;6
Akmenës Vartotojai;2021-10-09 12:00:00.000;1,4784;6
Akmenës Vartotojai;2021-10-09 13:00:00.000;1,4059;6
Akmenës Vartotojai;2021-10-09 14:00:00.000;1,5135;6
Akmenës Vartotojai;2021-10-09 15:00:00.000;1,5315;6
Akmenës Vartotojai;2021-10-09 16:00:00.000;2,1402;6
Akmenës Vartotojai;2021-10-09 17:00:00.000;3,7398;6
Akmenës Vartotojai;2021-10-09 18:00:00.000;3,1447;6
Akmenës Vartotojai;2021-10-09 19:00:00.000;2,9954;6
Akmenës Vartotojai;2021-10-09 20:00:00.000;2,1032;6
Akmenës Vartotojai;2021-10-09 21:00:00.000;1,9642;6
Akmenës Vartotojai;2021-10-09 22:00:00.000;1,3732;6
Akmenës Vartotojai;2021-10-09 23:00:00.000;1,151;6
Akmenës Vartotojai;2021-10-10 00:00:00.000;0,9651;6
Akmenës Vartotojai;2021-10-10 01:00:00.000;1,013;6
Akmenës Vartotojai;2021-10-10 02:00:00.000;0,8617;6
Akmenës Vartotojai;2021-10-10 03:00:00.000;0,853;6
Akmenës Vartotojai;2021-10-10 04:00:00.000;1,1379;6
Akmenës Vartotojai;2021-10-10 05:00:00.000;1,0325;6
Akmenës Vartotojai;2021-10-10 06:00:00.000;1,1807;6
Akmenës Vartotojai;2021-10-10 07:00:00.000;1,0937;6
Akmenës Vartotojai;2021-10-10 08:00:00.000;1,4271;6
Akmenës Vartotojai;2021-10-10 09:00:00.000;1,7932;6
Akmenës Vartotojai;2021-10-10 10:00:00.000;2,201;6
