GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2023-07-01 00:00:00,0.3087,4
Akmenės Vartotojai,2023-07-01 01:00:00,0.4009,4
Akmenės Vartotojai,2023-07-01 02:00:00,0.8131,4
Akmenės Vartotojai,2023-07-01 03:00:00,0.293,4
Akmenės Vartotojai,2023-07-01 04:00:00,0.2913,4
Akmenės Vartotojai,2023-07-01 05:00:00,0.655,4
Akmenės Vartotojai,2023-07-01 06:00:00,0.2014,4
Akmenės Vartotojai,2023-07-01 07:00:00,1.8787,4
Akmenės Vartotojai,2023-07-01 08:00:00,0.3292,4
Akmenės Vartotojai,2023-07-01 09:00:00,0.4846,4
Akmenės Vartotojai,2023-07-01 10:00:00,0.771,4
Akmenės Vartotojai,2023-07-01 11:00:00,0.4285,4
Akmenės Vartotojai,2023-07-01 12:00:00,0.3962,4
Akmenės Vartotojai,2023-07-01 13:00:00,0.4089,4
Akmenės Vartotojai,2023-07-01 14:00:00,0.3356,4
Akmenės Vartotojai,2023-07-01 15:00:00,0.5529,4
Akmenės Vartotojai,2023-07-01 16:00:00,0.8809,4
Akmenės Vartotojai,2023-07-01 17:00:00,0.8651,4
Akmenės Vartotojai,2023-07-01 18:00:00,1.6313,4
Akmenės Vartotojai,2023-07-01 19:00:00,1.4403,4
Akmenės Vartotojai,2023-07-01 20:00:00,0.3901,4
Akmenės Vartotojai,2023-07-01 21:00:00,1.1229,4
Akmenės Vartotojai,2023-07-01 22:00:00,0.8053,4
Akmenės Vartotojai,2023-07-01 23:00:00,0.3488,4
Akmenės Vartotojai,2023-07-02 00:00:00,0.376,4
Akmenės Vartotojai,2023-07-02 01:00:00,0.251,4
Akmenės Vartotojai,2023-07-02 02:00:00,0.2771,4
Akmenės Vartotojai,2023-07-02 03:00:00,0.3076,4
Akmenės Vartotojai,2023-07-02 04:00:00,0.3535,4
Akmenės Vartotojai,2023-07-02 05:00:00,0.6582,4
Akmenės Vartotojai,2023-07-02 06:00:00,0.2861,4
Akmenės Vartotojai,2023-07-02 07:00:00,0.5876,4
Akmenės Vartotojai,2023-07-02 08:00:00,0.623,4
Akmenės Vartotojai,2023-07-02 09:00:00,2.5369,4
Akmenės Vartotojai,2023-07-02 10:00:00,0.6605,4
Akmenės Vartotojai,2023-07-02 11:00:00,1.5556,4
Akmenės Vartotojai,2023-07-02 12:00:00,1.966,4
Akmenės Vartotojai,2023-07-02 13:00:00,0.8251,4
Akmenės Vartotojai,2023-07-02 14:00:00,1.3678,4
Akmenės Vartotojai,2023-07-02 15:00:00,0.9035,4
Akmenės Vartotojai,2023-07-02 16:00:00,1.242,4
Akmenės Vartotojai,2023-07-02 17:00:00,0.9889,4
Akmenės Vartotojai,2023-07-02 18:00:00,0.4529,4
Akmenės Vartotojai,2023-07-02 19:00:00,0.3589,4
Akmenės Vartotojai,2023-07-02 20:00:00,0.4636,4
Akmenės Vartotojai,2023-07-02 21:00:00,0.5064,4
Akmenės Vartotojai,2023-07-02 22:00:00,0.5164,4
Akmenės Vartotojai,2023-07-02 23:00:00,1.6749,4
Akmenės Vartotojai,2023-07-03 00:00:00,0.6256,4
Akmenės Vartotojai,2023-07-03 01:00:00,0.3539,4
Akmenės Vartotojai,2023-07-03 02:00:00,0.3169,4
Akmenės Vartotojai,2023-07-03 03:00:00,0.3456,4
Akmenės Vartotojai,2023-07-03 04:00:00,0.2692,4
Akmenės Vartotojai,2023-07-03 05:00:00,0.2685,4
Akmenės Vartotojai,2023-07-03 06:00:00,1.1115,4
Akmenės Vartotojai,2023-07-03 07:00:00,0.2907,4
Akmenės Vartotojai,2023-07-03 08:00:00,1.2283,4
Akmenės Vartotojai,2023-07-03 09:00:00,1.6741,4
Akmenės Vartotojai,2023-07-03 10:00:00,1.2652,4
Akmenės Vartotojai,2023-07-03 11:00:00,0.4146,4
Akmenės Vartotojai,2023-07-03 12:00:00,0.4772,4
Akmenės Vartotojai,2023-07-03 13:00:00,0.6002,4
Akmenės Vartotojai,2023-07-03 14:00:00,0.3789,4
Akmenės Vartotojai,2023-07-03 15:00:00,0.8849,4
